RIAL,RIAR,RIBL,RIM,RIBR,sensory,,,,,,velocity,speed,odor,upp_cam_index,RIAL_x,RIAL_y,RIAR_x,RIAR_y,RIBL_x,RIBL_y,RIM_x,RIM_y,RIBR_x,RIBR_y,sensory_x,sensory_y,Speed_3,Speed_5,Speed_10
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.50397153458744,4.30E+01,0,46,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+01,4.68E+01,4.35E+01
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.00630773940328,3.65E+00,0,49,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.16E+01,2.39E+01,8.60E+01
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.178565289539043,1.09E+00,0,52,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.04E+00,2.82E+01,1.34E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,11.2704120916779,2.12E+01,0,54,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.59E+00,1.80E+01,1.71E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.99480416442744,2.63E+00,0,57,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E+01,6.38E+00,2.25E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.84523757855723,1.36E+01,0,60,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.72E+00,1.20E+01,2.63E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.23894587734128,2.73E+00,0,63,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.74E+00,9.59E+00,2.84E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.54768584204589,4.84E+00,0,66,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.08E+00,7.58E+00,2.78E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.34873982978377,8.64E+00,0,68,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.49E+00,9.06E+00,2.68E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.49351759216186,1.17E+01,0,71,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.37E+00,1.26E+01,2.34E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.0027706637309,8.47E+00,0,74,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.15E+00,1.54E+01,1.93E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.77961554327948,2.05E+00,0,77,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.88E+00,1.05E+01,1.64E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-15.3194247525596,3.81E+01,0,80,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.34E+01,1.18E+01,1.38E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,15.967480717495,2.26E+01,0,82,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E+01,1.89E+01,1.39E+02
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-0.462349355831178,3.42E+00,0,85,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.60E+00,2.27E+01,1.42E+02
0.436470448970795,0.297478556632996,1.16233003139496,1.05618822574615,1.04144847393036,1.01715636253357,7.73E-01,7.16E-01,7.72E-01,7.17E-01,6.92E-01,1.3290695633985,8.43E+00,0,88,2.52E+02,5.97E+02,2.18E+02,5.53E+02,2.91E+02,4.87E+02,2.30E+02,4.50E+02,2.70E+02,5.02E+02,2.31E+02,4.91E+02,8.56E+00,6.98E+00,1.50E+02
0.432173103094101,0.288092881441116,1.12119054794312,1.04841184616089,1.00833857059479,1.04204976558685,7.99E-01,7.34E-01,8.05E-01,7.26E-01,6.91E-01,-1.93803195188151,5.27E+00,0,91,2.78E+02,5.83E+02,2.54E+02,5.62E+02,3.20E+02,4.86E+02,2.56E+02,4.57E+02,3.01E+02,5.02E+02,2.65E+02,4.96E+02,3.88E+00,1.07E+01,1.60E+02
0.411679148674011,0.265751957893372,1.10408675670624,1.05672800540924,1.06919515132904,1.04184806346893,7.48E-01,7.15E-01,7.93E-01,7.14E-01,6.91E-01,-0.021631766586271,1.55E+01,0,94,3.31E+02,4.65E+02,2.90E+02,4.31E+02,3.44E+02,3.43E+02,2.74E+02,3.26E+02,3.27E+02,3.64E+02,2.89E+02,3.66E+02,5.24E+00,8.60E+00,1.73E+02
0.417514830827713,0.261213093996048,1.0843551158905,1.05322158336639,1.01885104179382,1.04296433925629,8.12E-01,6.98E-01,8.08E-01,7.26E-01,6.96E-01,0.357993094652889,3.19E-01,0,96,3.52E+02,4.74E+02,3.24E+02,4.55E+02,3.67E+02,3.59E+02,3.01E+02,3.52E+02,3.54E+02,3.82E+02,3.19E+02,3.89E+02,7.20E+00,4.06E+00,1.63E+02
0.427547931671143,0.266532063484192,1.11411988735199,1.06817030906677,1.21838760375977,1.04521572589874,7.42E-01,6.86E-01,8.14E-01,6.88E-01,6.68E-01,-0.177696884392791,2.90E+00,0,99,4.17E+02,5.04E+02,3.80E+02,4.79E+02,4.10E+02,3.78E+02,3.44E+02,3.76E+02,4.00E+02,4.03E+02,3.67E+02,4.15E+02,6.68E-01,5.28E+00,1.55E+02
0.418935477733612,0.255092948675156,1.09752249717712,1.0682076215744,1.19653415679932,1.08600354194641,7.65E-01,6.78E-01,8.16E-01,7.14E-01,6.81E-01,-0.072395319810758,8.50E-01,0,102,4.28E+02,5.15E+02,4.02E+02,4.99E+02,4.29E+02,3.94E+02,3.66E+02,3.97E+02,4.21E+02,4.23E+02,3.90E+02,4.35E+02,1.20E+00,3.89E+00,1.30E+02
0.43139722943306,0.264684677124023,1.12258100509644,1.06685829162598,1.04430568218231,1.07587838172913,7.70E-01,7.07E-01,7.92E-01,6.93E-01,7.13E-01,-1.11238552909359,3.97E+00,0,105,4.64E+02,5.49E+02,4.30E+02,5.24E+02,4.59E+02,4.19E+02,3.93E+02,4.20E+02,4.48E+02,4.47E+02,4.17E+02,4.59E+02,1.22E+00,4.31E-01,9.39E+01
0.432374000549316,0.269885957241058,1.13881433010101,1.07391250133514,1.59331655502319,1.0800187587738,7.71E-01,7.06E-01,8.14E-01,6.98E-01,7.21E-01,-0.151498783881075,1.60E+00,0,108,4.65E+02,5.56E+02,4.33E+02,5.35E+02,4.61E+02,4.31E+02,3.95E+02,4.32E+02,4.52E+02,4.60E+02,4.20E+02,4.71E+02,2.10E+00,8.41E-02,6.20E+01
0.44101870059967,0.264834642410278,1.11096704006195,1.09330499172211,1.19321525096893,1.04098773002625,7.78E-01,6.98E-01,8.07E-01,6.99E-01,7.01E-01,1.07126662503601,1.10E+00,0,110,4.73E+02,5.65E+02,4.40E+02,5.42E+02,4.68E+02,4.37E+02,4.01E+02,4.39E+02,4.58E+02,4.64E+02,4.27E+02,4.77E+02,1.24E+00,7.97E-01,4.80E+01
0.433748751878738,0.268174707889557,1.10755527019501,1.11228764057159,1.18542456626892,1.0697478055954,8.08E-01,7.03E-01,8.03E-01,6.95E-01,7.12E-01,0.003024600114349,2.02E-01,0,113,4.70E+02,5.65E+02,4.35E+02,5.43E+02,4.62E+02,4.39E+02,3.92E+02,4.39E+02,4.52E+02,4.66E+02,4.18E+02,4.75E+02,1.24E+00,5.83E-01,3.06E+01
0.433473885059357,0.268454432487488,1.15031707286835,1.07002127170563,1.17825245857239,1.02762794494629,7.74E-01,6.95E-01,8.28E-01,7.11E-01,7.19E-01,-0.12371971440294,1.16E+00,0,116,4.49E+02,5.66E+02,4.23E+02,5.43E+02,4.51E+02,4.39E+02,3.89E+02,4.39E+02,4.43E+02,4.66E+02,4.16E+02,4.77E+02,2.49E+00,1.77E+00,3.26E+01
0.426440119743347,0.262736260890961,1.11101543903351,1.06449902057648,1.03500318527222,1.05473339557648,7.93E-01,7.16E-01,8.15E-01,7.21E-01,7.14E-01,1.2051299668022,9.60E-01,0,119,4.46E+02,5.69E+02,4.18E+02,5.48E+02,4.48E+02,4.45E+02,3.82E+02,4.42E+02,4.38E+02,4.70E+02,4.08E+02,4.81E+02,1.39E+00,2.17E+00,3.60E+01
0.449427545070648,0.268410831689835,1.15896761417389,1.0800713300705,1.26310539245605,1.04247772693634,8.00E-01,7.15E-01,8.04E-01,6.89E-01,7.26E-01,0.590049701332871,1.81E+00,0,122,4.32E+02,5.43E+02,4.16E+02,5.22E+02,4.46E+02,4.21E+02,3.78E+02,4.18E+02,4.37E+02,4.46E+02,4.03E+02,4.54E+02,1.31E+00,9.49E-01,3.36E+01
0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-0.282255966863597,1.88E+01,0,124,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.73E+00,4.89E+00,3.07E+01
0.459466546773911,0.28966099023819,0,0,1.02473521232605,1.02922213077545,7.90E-01,7.17E-01,8.54E-01,7.09E-01,7.01E-01,2.65451730401828,1.45E+00,0,127,2.86E+02,1.29E+02,2.52E+02,7.16E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.98E+02,9.33E+00,2.65E+02,1.07E+01,1.93E+00,5.75E+00,2.93E+01
0.479191422462463,0.309372991323471,1.20999622344971,0,0.987025797367096,0.996605634689331,8.08E-01,7.39E-01,8.12E-01,7.13E-01,7.68E-01,8.05850229717642,2.11E+00,0,130,2.86E+02,1.13E+02,2.65E+02,6.88E+01,3.30E+02,7.01E+00,0.00E+00,0.00E+00,3.11E+02,1.94E+01,2.80E+02,1.26E+01,3.86E+00,1.25E+00,2.62E+01
0.455344915390015,0.279484272003174,1.19821083545685,1.05785369873047,0.993693292140961,1.00387406349182,8.15E-01,7.11E-01,8.15E-01,7.68E-01,7.46E-01,-1.18818227971692,4.12E+00,0,133,2.91E+02,3.83E+02,2.67E+02,3.47E+02,3.32E+02,2.73E+02,2.66E+02,2.42E+02,3.13E+02,2.91E+02,2.79E+02,2.87E+02,1.12E+01,1.07E+01,1.98E+01
0.448983818292618,0.277982383966446,1.20095133781433,1.04590499401093,0.992595911026001,1.02725839614868,8.11E-01,7.49E-01,8.10E-01,7.76E-01,7.45E-01,0.436969231363022,2.61E+00,0,136,2.94E+02,3.92E+02,2.71E+02,3.64E+02,3.34E+02,2.86E+02,2.68E+02,2.61E+02,3.15E+02,3.04E+02,2.80E+02,3.01E+02,2.88E+00,1.56E+01,1.20E+01
0.434775620698929,0.272652953863144,1.18004274368286,1.042520403862,1.02548003196716,1.01758849620819,7.96E-01,7.36E-01,7.80E-01,7.78E-01,7.08E-01,-0.085816291057468,4.95E-01,0,138,3.05E+02,4.57E+02,2.80E+02,4.21E+02,3.37E+02,3.41E+02,2.72E+02,3.15E+02,3.21E+02,3.58E+02,2.84E+02,3.54E+02,3.40E+00,1.54E+01,4.54E+00
0.432745397090912,0.270714908838272,1.18212652206421,1.05613434314728,1.0281867980957,1.03956663608551,8.16E-01,7.33E-01,8.27E-01,7.63E-01,7.60E-01,-0.218569419274712,1.80E+00,0,141,3.08E+02,4.69E+02,2.85E+02,4.43E+02,3.43E+02,3.58E+02,2.75E+02,3.37E+02,3.26E+02,3.79E+02,2.90E+02,3.77E+02,9.93E-01,7.27E+00,1.55E+01
0.421635627746582,0.272821456193924,1.22889113426209,1.04985642433167,1.01996302604675,1.03451287746429,7.82E-01,7.42E-01,8.05E-01,7.75E-01,7.27E-01,0.061632262160493,5.91E-01,0,144,3.11E+02,4.85E+02,2.87E+02,4.54E+02,3.44E+02,3.67E+02,2.80E+02,3.45E+02,3.28E+02,3.88E+02,2.93E+02,3.88E+02,1.04E+00,1.28E+00,3.52E+01
0.418196111917496,0.278629988431931,1.15963685512543,1.06675040721893,1.31921970844269,1.05164647102356,8.13E-01,7.34E-01,8.13E-01,7.38E-01,7.15E-01,-0.47097239073707,2.00E+00,0,147,3.07E+02,4.79E+02,2.77E+02,4.25E+02,3.38E+02,3.42E+02,2.74E+02,3.12E+02,3.22E+02,3.64E+02,2.87E+02,3.57E+02,8.86E-01,6.01E-01,5.92E+01
0.450940370559692,0.281261056661606,1.20281958580017,1.07102060317993,0.99157726764679,1.05041038990021,7.80E-01,7.39E-01,8.39E-01,7.74E-01,7.55E-01,0.019444147434159,2.06E+00,0,150,2.75E+02,3.10E+02,2.55E+02,2.87E+02,3.29E+02,2.16E+02,2.67E+02,1.85E+02,3.09E+02,2.33E+02,2.76E+02,2.24E+02,2.19E+00,5.95E-01,7.69E+01
