4.555596618652343750e+02,2.261202545166015625e+02,4.464083251953125000e+02,2.245824737548828125e+02,4.372523193359375000e+02,2.219145965576171875e+02,4.280903930664062500e+02,2.186647338867187500e+02,4.189212951660156250e+02,2.153810424804687500e+02,4.097438354492187500e+02,2.126116333007812500e+02,4.005567626953125000e+02,2.109046325683593750e+02,3.913587951660156250e+02,2.108037414550781250e+02,3.821487426757812500e+02,2.122122955322265625e+02,3.729253234863281250e+02,2.137282104492187500e+02,3.636873779296875000e+02,2.137956695556640625e+02,3.544335937500000000e+02,2.117317504882812500e+02,3.451627502441406250e+02,2.087003479003906250e+02,3.358736572265625000e+02,2.060989074707031250e+02,3.265650024414062500e+02,2.048136444091796875e+02,3.172356262207031250e+02,2.044543304443359375e+02,3.078842163085937500e+02,2.044348907470703125e+02,2.985096130371093750e+02,2.041692199707031250e+02,2.891105041503906250e+02,2.030712280273437500e+02,2.796856994628906250e+02,2.005547943115234375e+02
4.470508728027343750e+02,2.273678131103515625e+02,4.385783691406250000e+02,2.208495330810546875e+02,4.298927001953125000e+02,2.163581237792968750e+02,4.210246582031250000e+02,2.135296936035156250e+02,4.120049743652343750e+02,2.120003509521484375e+02,4.028644409179687500e+02,2.114061737060546875e+02,3.936337890625000000e+02,2.113832855224609375e+02,3.843437805175781250e+02,2.115677642822265625e+02,3.750252075195312500e+02,2.115957336425781250e+02,3.657087707519531250e+02,2.111032867431640625e+02,3.564252624511718750e+02,2.097265472412109375e+02,3.471953125000000000e+02,2.072764739990234375e+02,3.380057067871093750e+02,2.041523590087890625e+02,3.288359375000000000e+02,2.008771667480468750e+02,3.196656494140625000e+02,1.979738311767578125e+02,3.104743652343750000e+02,1.959652862548828125e+02,3.012416687011718750e+02,1.953745269775390625e+02,2.919471435546875000e+02,1.962568054199218750e+02,2.825704040527343750e+02,1.968135375976562500e+02,2.730909729003906250e+02,1.947868041992187500e+02
4.497819519042968750e+02,2.307564849853515625e+02,4.413085021972656250e+02,2.249748077392578125e+02,4.326064758300781250e+02,2.198049621582031250e+02,4.237003173828125000e+02,2.154028167724609375e+02,4.146145019531250000e+02,2.119242553710937500e+02,4.053735351562500000e+02,2.095251617431640625e+02,3.960018615722656250e+02,2.083614196777343750e+02,3.865239562988281250e+02,2.085888977050781250e+02,3.769642944335937500e+02,2.100621643066406250e+02,3.673473205566406250e+02,2.115022125244140625e+02,3.576974182128906250e+02,2.113833160400390625e+02,3.480306701660156250e+02,2.092713165283203125e+02,3.383509216308593750e+02,2.063690795898437500e+02,3.286611022949218750e+02,2.040098876953125000e+02,3.189639587402343750e+02,2.029696960449218750e+02,3.092624206542968750e+02,2.029118041992187500e+02,2.995592956542968750e+02,2.033673095703125000e+02,2.898574218750000000e+02,2.038673248291015625e+02,2.801596984863281250e+02,2.039429626464843750e+02,2.704689025878906250e+02,2.031253356933593750e+02
4.501845703125000000e+02,2.291128845214843750e+02,4.416730346679687500e+02,2.239004974365234375e+02,4.329728698730468750e+02,2.191144714355468750e+02,4.241020812988281250e+02,2.149724426269531250e+02,4.150786743164062500e+02,2.116920623779296875e+02,4.059205932617187500e+02,2.094909973144531250e+02,3.966458740234375000e+02,2.085868988037109375e+02,3.872724914550781250e+02,2.091866607666015625e+02,3.778183898925781250e+02,2.108988037109375000e+02,3.683016052246093750e+02,2.124303436279296875e+02,3.587401123046875000e+02,2.124218292236328125e+02,3.491518554687500000e+02,2.104241638183593750e+02,3.395548706054687500e+02,2.077196655273437500e+02,3.299671325683593750e+02,2.057420806884765625e+02,3.204065856933593750e+02,2.049281311035156250e+02,3.108912658691406250e+02,2.047066497802734375e+02,3.014391479492187500e+02,2.044617919921875000e+02,2.920682067871093750e+02,2.035777435302734375e+02,2.827964477539062500e+02,2.014386749267578125e+02,2.736418151855468750e+02,1.974287261962890625e+02
4.510697326660156250e+02,2.296581878662109375e+02,4.421851501464843750e+02,2.231571807861328125e+02,4.329928588867187500e+02,2.178979644775390625e+02,4.235260620117187500e+02,2.137936706542968750e+02,4.138178100585937500e+02,2.107574310302734375e+02,4.039013366699218750e+02,2.087023925781250000e+02,3.938097229003906250e+02,2.075416259765625000e+02,3.835761413574218750e+02,2.071478271484375000e+02,3.732337036132812500e+02,2.072795104980468750e+02,3.628155822753906250e+02,2.076751708984375000e+02,3.523549194335937500e+02,2.080852355957031250e+02,3.418848266601562500e+02,2.083511047363281250e+02,3.314384765625000000e+02,2.083560333251953125e+02,3.210489807128906250e+02,2.079834899902343750e+02,3.107495117187500000e+02,2.071169586181640625e+02,3.005731811523437500e+02,2.056399078369140625e+02,2.905531616210937500e+02,2.034358215332031250e+02,2.807225646972656250e+02,2.003881988525390625e+02,2.711145629882812500e+02,1.963804931640625000e+02,2.617622680664062500e+02,1.912961883544921875e+02
4.493451232910156250e+02,2.305442810058593750e+02,4.414851074218750000e+02,2.231929016113281250e+02,4.331655883789062500e+02,2.169321441650390625e+02,4.244446716308593750e+02,2.119772491455078125e+02,4.153805541992187500e+02,2.085434875488281250e+02,4.060313110351562500e+02,2.068461303710937500e+02,3.964551696777343750e+02,2.070713653564453125e+02,3.867102050781250000e+02,2.087084960937500000e+02,3.768545837402343750e+02,2.105338439941406250e+02,3.669462280273437500e+02,2.113010406494140625e+02,3.570251159667968750e+02,2.104301757812500000e+02,3.471021118164062500e+02,2.084300231933593750e+02,3.371854248046875000e+02,2.059097747802734375e+02,3.272831726074218750e+02,2.033599853515625000e+02,3.174035339355468750e+02,2.009191131591796875e+02,3.075546875000000000e+02,1.986605224609375000e+02,2.977447814941406250e+02,1.966575927734375000e+02,2.879819641113281250e+02,1.949837341308593750e+02,2.782744445800781250e+02,1.937122955322265625e+02,2.686303710937500000e+02,1.929166717529296875e+02
4.418841247558593750e+02,2.299055938720703125e+02,4.345192871093750000e+02,2.233308868408203125e+02,4.267502441406250000e+02,2.181131286621093750e+02,4.186369934082031250e+02,2.142780151367187500e+02,4.102395935058593750e+02,2.118512420654296875e+02,4.016179809570312500e+02,2.108585205078125000e+02,3.928322448730468750e+02,2.113205413818359375e+02,3.839423217773437500e+02,2.129328155517578125e+02,3.750082702636718750e+02,2.148719787597656250e+02,3.660901184082031250e+02,2.162682800292968750e+02,3.572425231933593750e+02,2.163340148925781250e+02,3.484720458984375000e+02,2.150255432128906250e+02,3.397597045898437500e+02,2.126954193115234375e+02,3.310861816406250000e+02,2.096998291015625000e+02,3.224321594238281250e+02,2.063949737548828125e+02,3.137783813476562500e+02,2.031370544433593750e+02,3.051055297851562500e+02,2.002822875976562500e+02,2.963943786621093750e+02,1.981868591308593750e+02,2.876255798339843750e+02,1.972069702148437500e+02,2.787798767089843750e+02,1.976988525390625000e+02
4.463970947265625000e+02,2.296781311035156250e+02,4.393339233398437500e+02,2.242144012451171875e+02,4.314076538085937500e+02,2.181676025390625000e+02,4.228343505859375000e+02,2.122805480957031250e+02,4.138301391601562500e+02,2.072959899902343750e+02,4.046111450195312500e+02,2.039567413330078125e+02,3.953935241699218750e+02,2.030055847167968750e+02,3.863861389160156250e+02,2.051394348144531250e+02,3.775960083007812500e+02,2.097681427001953125e+02,3.688055419921875000e+02,2.148700866699218750e+02,3.597968444824218750e+02,2.184604644775390625e+02,3.505081481933593750e+02,2.200758819580078125e+02,3.409904785156250000e+02,2.203525695800781250e+02,3.312977600097656250e+02,2.199345397949218750e+02,3.214906005859375000e+02,2.191653137207031250e+02,3.116355590820312500e+02,2.181279449462890625e+02,3.017992858886718750e+02,2.168968353271484375e+02,2.920484619140625000e+02,2.155463867187500000e+02,2.824497680664062500e+02,2.141510162353515625e+02,2.730698547363281250e+02,2.127851409912109375e+02
4.439410400390625000e+02,2.321171875000000000e+02,4.372608337402343750e+02,2.233610534667968750e+02,4.299762878417968750e+02,2.172419586181640625e+02,4.221738281250000000e+02,2.133487243652343750e+02,4.139398803710937500e+02,2.112701721191406250e+02,4.053608703613281250e+02,2.105951232910156250e+02,3.965232543945312500e+02,2.109123687744140625e+02,3.875134277343750000e+02,2.118249664306640625e+02,3.784178466796875000e+02,2.132178802490234375e+02,3.693228759765625000e+02,2.152341308593750000e+02,3.602894287109375000e+02,2.177964782714843750e+02,3.513111877441406250e+02,2.202220764160156250e+02,3.423710632324218750e+02,2.217296295166015625e+02,3.334517822265625000e+02,2.216451568603515625e+02,3.245362548828125000e+02,2.202094268798828125e+02,3.156072387695312500e+02,2.181259460449218750e+02,3.066475830078125000e+02,2.161017456054687500e+02,2.976401062011718750e+02,2.148438873291015625e+02,2.885676269531250000e+02,2.150594329833984375e+02,2.794129638671875000e+02,2.174554443359375000e+02
4.447222290039062500e+02,2.318729705810546875e+02,4.368667602539062500e+02,2.263201904296875000e+02,4.287459716796875000e+02,2.206483001708984375e+02,4.203824157714843750e+02,2.152938385009765625e+02,4.117986145019531250e+02,2.106933135986328125e+02,4.030170593261718750e+02,2.072832489013671875e+02,3.940602722167968750e+02,2.055001678466796875e+02,3.849507751464843750e+02,2.057259674072265625e+02,3.757111511230468750e+02,2.076091766357421875e+02,3.663638305664062500e+02,2.102739868164062500e+02,3.569313964843750000e+02,2.128558044433593750e+02,3.474363403320312500e+02,2.150117340087890625e+02,3.379011840820312500e+02,2.169219055175781250e+02,3.283484497070312500e+02,2.187892608642578125e+02,3.188006896972656250e+02,2.207946319580078125e+02,3.092803955078125000e+02,2.227653350830078125e+02,2.998100891113281250e+02,2.242448883056640625e+02,2.904122924804687500e+02,2.247687988281250000e+02,2.811095275878906250e+02,2.238725433349609375e+02,2.719243164062500000e+02,2.210916137695312500e+02
