0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,111.50000000000001,426.0,120.66908930170138,412.1129009159065,133.2623486815931,401.43495978035133,148.04000517847822,394.0296891398991,163.76472824781783,389.9586520037361,179.7169796765403,388.87010945678486,196.3138120430864,389.47173009098276,212.6839107802846,388.9180534888879,225.58290044764698,382.06648533665776,234.47495442147192,368.36169117971565,242.50412316779523,353.3378944174324,249.69462189834817,338.94331080533976,253.08681848785108,323.30792201003806,255.43574007062418,307.17647185513306,263.36471564740816,293.3244134231815,276.9664526885388,283.3830992957699,292.6501750386649,277.8694265088015,308.5312248655772,274.2837711970693,323.5123468910881,268.77859463298836,336.49999999999994,257.49999999999994
0.75,122.99999999999999,414.0,135.62034060377792,404.80139657231416,149.77322610506744,397.8277719812978,165.00105579320956,393.7966563102424,180.84542028087563,393.41581029093095,196.67647072677505,395.32189213526027,211.49052176125622,393.5813726186305,224.90274320739803,385.5593863549066,237.60287979055,375.19726634853373,247.97445435133818,364.16156172654684,251.54317053558935,350.44403092006326,250.08982037460981,334.4780344416307,251.48076693289227,319.2603046076223,258.1880722161855,305.9348188847,268.37968389611166,294.18942712610647,280.7801993447154,284.2957768621837,294.53775937672873,276.72435375054306,309.018822534068,270.7044504120124,323.6854115669104,264.9069246146875,337.99999999999994,258.0
1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,111.0,417.99999999999994,126.28508253676617,410.3434851530057,142.2956663201443,406.2194084144994,158.8169169069459,404.4217891695421,175.63347453970795,403.74277658339923,192.41861283473852,402.578033224866,208.5919136537017,398.454969208333,223.13561220406012,390.04719655215257,234.37189350083585,378.1737763013391,241.50109490378762,363.848694882324,245.04137693058843,348.0724928021903,247.68497678671784,331.9215440024575,253.9814171337564,316.5849347041652,265.0579083241941,303.79012200212685,279.3446658435597,295.36877576013126,295.2800642602472,289.9870948583355,311.3806938246691,284.6074092939359,326.4028969122824,277.423050737697,339.2102078698565,267.18994375883835,348.6666666666667,252.6666666666666
1.75,98.0,408.00000000000006,98.21517953937939,416.03702271832253,109.42526482097873,414.38586014219794,126.9914043424549,408.89091169390093,146.284011335153,405.38087089166044,164.63762257231426,406.35477959583784,183.73069133047647,406.90333996942036,202.8711328158843,402.70226308914,216.48213833245322,392.1861359453502,223.8876957169826,376.5152781481195,231.21393181820997,359.92246962796855,240.54073439842028,343.8831605182879,249.67010107524484,327.1176515705872,259.7399822740823,311.45132932943915,274.170460669459,300.70528274031744,291.9404403108183,293.6642924981894,309.62015411793584,286.39179013106985,325.6126765145962,277.03775435978076,339.1579838190516,264.7047911519612,349.49999999999994,248.5
2.0,87.5,426.5,101.19053999655304,413.36063006657173,117.57037587368718,406.13147492537104,135.38533022550374,402.92376878502296,153.38458235695964,401.85105670597113,171.02893427440088,401.5167843341282,189.34077954492486,401.59190807015665,207.5354465680257,399.9206202242573,221.48835275989387,391.13551338646647,230.1383078383826,374.81576987967594,236.781378846069,357.20129528982864,243.77897393223043,340.7057787247749,252.29612286783583,323.7755872939026,263.9390137877176,309.40645469447503,280.2775541302622,303.26645941606614,298.58614700075975,301.07108744492626,314.1820129848621,293.7684236240273,326.65615568794243,280.7987615143284,337.5298144092378,265.4429615383413,348.3333333333333,250.99999999999997
2.25,111.99999999999999,421.00000000000006,127.21895539724531,413.11159398410547,143.39538979054595,408.31084546118444,160.19409429216037,405.94921846095286,177.2796090614726,405.37365948513195,194.26327224851192,404.97339910048777,210.62573765523575,401.02608647121434,224.90441954893225,391.4707048725905,234.1494664420804,377.55456536809334,238.5385280372713,360.92957612063367,242.4598570139525,343.3962949068189,249.43891676667474,327.66149527147627,261.6281913419884,317.0508426659635,277.7568127450104,310.7394358545211,294.15059293270195,304.8690740428412,309.0669453486198,297.479700394974,321.999732723592,287.85878555124054,332.88300865699256,275.8911429139395,341.8412919938093,261.72254618221314,348.99999999999994,245.5
